Country Name,Month,Year,Growth rate of vaccine,Difference of growth rate to global average
Mozambique,11,2022,99.48894893823132,95.64177698719612
Mozambique,12,2022,1.3481880058866813,-2.4989839451485185
Mozambique,01,2023,0.054710442672701295,-3.7924615083624986
Mozambique,02,2023,0.0793668897465425,-3.7678050612886573
Mozambique,03,2023,0.0,-3.8471719510352
Mozambique,04,2023,,
Mozambique,05,2023,6.199987354448685,2.352815403413485
Mozambique,06,2023,0.7004524533099458,-3.146719497725254
Mozambique,07,2023,0.002226431154119213,-3.8449455198810805
Myanmar,02,2021,1.4535604707136833,-2.3936114803215167
Myanmar,03,2021,0.5866853721192752,-3.2604865789159247
Myanmar,04,2021,2.910374734086074,-0.9367972169491257
Myanmar,05,2021,1.029139894583131,-2.818032056452069
Myanmar,06,2021,0.2194560182660355,-3.6277159327691644
Myanmar,07,2021,5.996089519181233,2.148917568146033
Myanmar,08,2021,1.270046894123795,-2.577125056911405
Myanmar,09,2021,2.3282066785471827,-1.5189652724880172
Myanmar,10,2021,1.7760658603267796,-2.0711060907084202
Myanmar,11,2021,1.0709263771094013,-2.7762455739257987
Myanmar,12,2021,0.8556147829438766,-2.9915571680913233
Myanmar,01,2022,0.7053498220908082,-3.1418221289443915
Myanmar,02,2022,0.7548991671483495,-3.0922727838868505
Myanmar,03,2022,1.2917964038794782,-2.5553755471557213
Myanmar,04,2022,1.055339848462538,-2.791832102572662
Myanmar,05,2022,0.967139149933961,-2.8800328011012386
Myanmar,06,2022,0.9853401665164279,-2.861831784518772
Myanmar,07,2022,0.47310965292361873,-3.374062298111581
Myanmar,08,2022,1.0,-2.8471719510352
Myanmar,09,2022,1.0,-2.8471719510352
Myanmar,10,2022,1.0,-2.8471719510352
Myanmar,11,2022,1.0,-2.8471719510352
Myanmar,12,2022,1.0,-2.8471719510352
Myanmar,01,2023,1.0,-2.8471719510352
Myanmar,02,2023,1.0,-2.8471719510352
Myanmar,03,2023,1.0,-2.8471719510352
Myanmar,04,2023,1.0,-2.8471719510352
Myanmar,05,2023,0.5493480383898853,-3.2978239126453146
Myanmar,06,2023,0.8659197629450257,-2.981252188090174
Myanmar,07,2023,1.0,-2.8471719510352
Myanmar,08,2023,1.0,-2.8471719510352
Namibia,04,2021,8.56685288640596,4.719680935370759
Namibia,05,2021,3.149492176777381,-0.6976797742578187
Namibia,06,2021,1.1986398719032798,-2.64853207913192
Namibia,07,2021,0.9197896120973044,-2.9273823389378952
Namibia,08,2021,1.7414695284349053,-2.1057024226002943
Namibia,09,2021,0.9733731629510797,-2.87379878808412
Namibia,10,2021,1.3945219837811,-2.4526499672541
Namibia,11,2021,0.406329344099998,-3.4408426069352016
Namibia,12,2021,0.1549079754601227,-3.6922639755750772
Namibia,01,2022,13.838283828382838,9.991111877347638
Namibia,02,2022,0.3658746877861035,-3.4812972632490964
Namibia,03,2022,0.05588035350101971,-3.79129159753418
Namibia,04,2022,1.3670613562970937,-2.480110594738106
Namibia,05,2022,1.0,-2.8471719510352
Namibia,06,2022,5.341994750656168,1.4948227996209682
Namibia,07,2022,2.2995007535795025,-1.5476711974556974
Namibia,08,2022,0.9172223093818638,-2.929949641653336
Namibia,09,2022,0.34700272167966517,-3.5001692293555347
Namibia,10,2022,0.43104227170054854,-3.4161296793346514
Namibia,11,2022,0.7888609188168659,-3.058311032218334
Namibia,12,2022,1.3497749437359339,-2.497397007299266
Namibia,01,2023,0.5375681101233152,-3.3096038409118846
Namibia,02,2023,1.0043630017452008,-2.8428089492899993
Namibia,03,2023,1.388635754489413,-2.458536196545787
Namibia,04,2023,0.46259034967767143,-3.3845816013575285
Namibia,05,2023,0.8583196046128501,-2.98885234642235
Namibia,06,2023,1.840415019762846,-2.0067569312723537
Namibia,07,2023,1.8251503006012024,-2.0220216504339974
Namibia,08,2023,0.3289638823037233,-3.5182080687314765
Namibia,09,2023,0.4458541005890349,-3.4013178504461647
Namibia,10,2023,0.18787878787878787,-3.659293163156412
Namibia,11,2023,1.0,-2.8471719510352
Nauru,05,2021,1.3249356481735035,-2.522236302861696
Nauru,06,2021,0.2959800041657988,-3.551191946869401
Nauru,07,2021,3.6892479801118707,-0.1579239709233291
Nauru,08,2021,0.013884068031933356,-3.8332878830032664
Nauru,09,2021,0.9090909090909091,-2.9380810419442907
Nauru,10,2021,1.0,-2.8471719510352
Nauru,11,2021,1.0,-2.8471719510352
Nauru,12,2021,1.0,-2.8471719510352
Nauru,01,2022,5.048387096774194,1.2012151457389941
Nauru,02,2022,2.9416342412451364,-0.9055377097900634
Nauru,03,2022,3.2246117084826764,-0.6225602425525234
Nauru,04,2022,1.5834580838323353,-2.2637138672028643
Nauru,05,2022,0.058504364236848315,-3.7886675867983515
Nauru,06,2022,1.0,-2.8471719510352
Nauru,07,2022,2.4516129032258065,-1.3955590478093933
Nauru,08,2022,0.6078431372549019,-3.239328813780298
Nauru,09,2022,1.0,-2.8471719510352
Nauru,10,2022,2.274193548387097,-1.5729784026481028
Nauru,11,2022,1.9784172661870503,-1.8687546848481495
Nauru,12,2022,1.0,-2.8471719510352
Nauru,01,2023,1.0,-2.8471719510352
Nauru,02,2023,1.0,-2.8471719510352
Nepal,02,2021,1.4802828564359685,-2.366889094599231
Nepal,03,2021,1.5392532928004212,-2.3079186582347786
Nepal,04,2021,0.4207232161085769,-3.426448734926623
Nepal,05,2021,1.5844335688545486,-2.2627383821806513
Nepal,06,2021,0.833511079336026,-3.013660871699174
Nepal,07,2021,3.147313153561389,-0.6998587974738109
Nepal,08,2021,2.158713975895926,-1.6884579751392739
Nepal,09,2021,0.9047634260648874,-2.9424085249703125
Nepal,10,2021,0.6630718252108504,-3.1841001258243495
Nepal,11,2021,1.0413859246527775,-2.8057860263824224
Nepal,12,2021,2.2176157490166313,-1.6295562020185685
Nepal,01,2022,1.2118332191378367,-2.635338731897363
Nepal,02,2022,0.9555630016776071,-2.8916089493575927
Nepal,03,2022,0.4622019785090038,-3.384969972526196
Nepal,04,2022,0.5413342765449914,-3.3058376744902085
Nepal,05,2022,0.7826854134970184,-3.0644865375381816
Nepal,06,2022,2.576556739207137,-1.270615211828063
Nepal,07,2022,2.0294194034407185,-1.8177525475944813
Nepal,08,2022,0.39043497886041856,-3.4567369721747814
Nepal,09,2022,1.0859190086997355,-2.7612529423354646
Nepal,10,2022,0.4264523351966341,-3.4207196158385655
Nepal,11,2022,0.6015455757190266,-3.2456263753161734
Nepal,12,2022,0.6482766343165006,-3.198895316718699
Nepal,01,2023,1.1443731836404478,-2.7027987673947518
Nepal,02,2023,0.36309991240274125,-3.4840720386324584
Nepal,03,2023,1.3033320527596364,-2.5438398982755634
Nepal,04,2023,1.5691936021995956,-2.277978348835604
Nepal,05,2023,0.7180251370537231,-3.129146813981477
Nepal,06,2023,0.5220928971624796,-3.32507905387272
Nepal,07,2023,0.9132044536725328,-2.933967497362667
Nepal,08,2023,1.0,-2.8471719510352
Nepal,09,2023,1.0,-2.8471719510352
Nepal,10,2023,0.6867641864845774,-3.1604077645506226
Nepal,11,2023,0.1733558178752108,-3.6738161331599892
Netherlands,02,2021,2.8864249970502702,-0.9607469539849296
Netherlands,03,2021,1.1627264064146612,-2.6844455446205386
Netherlands,04,2021,2.4020645072957008,-1.445107443739499
Netherlands,05,2021,1.5408624980489751,-2.3063094529862247
Netherlands,06,2021,1.5043627310005119,-2.342809220034688
Netherlands,07,2021,0.8270384239952681,-3.0201335270399317
Netherlands,08,2021,0.4764377264433453,-3.3707342245918546
Netherlands,09,2021,0.27265301625128224,-3.5745189347839177
Netherlands,10,2021,0.7457218402961396,-3.1014501107390604
Netherlands,11,2021,1.5397211677512654,-2.3074507832839344
Netherlands,12,2021,5.461567523763634,1.614395572728434
Netherlands,01,2022,1.058393019169792,-2.7887789318654077
Netherlands,02,2022,0.11879041583713258,-3.7283815351980674
Netherlands,03,2022,1.8453436700627712,-2.0018282809724286
Netherlands,04,2022,1.018857938266262,-2.8283140127689377
Netherlands,05,2022,0.28528940788153007,-3.56188254315367
Netherlands,06,2022,1.0444924626535543,-2.8026794883816457
Netherlands,07,2022,1.3385442978763213,-2.5086276531588787
Netherlands,08,2022,0.35704779899308775,-3.490124152042112
Netherlands,09,2022,3.7701680405162,-0.07700391051899969
Netherlands,10,2022,4.124463834121571,0.27729188308637154
Netherlands,11,2022,0.333673034612155,-3.513498916423045
Netherlands,12,2022,0.2392407943859131,-3.6079311566492867
Netherlands,01,2023,0.744360862676149,-3.1028110883590507
Netherlands,02,2023,0.3327586992512037,-3.514413251783996
Netherlands,03,2023,0.3218281698105586,-3.5253437812246413
Netherlands,04,2023,0.3339326141962978,-3.513239336838902
Netherlands,05,2023,0.5147202183661532,-3.3324517326690466
Netherlands,06,2023,0.7359461599366588,-3.111225791098541
Netherlands,07,2023,0.5473186119873817,-3.299853339047818
Netherlands,08,2023,0.859375,-2.9877969510352
Netherlands,09,2023,0.8636840830170395,-2.9834878680181602
New Caledonia,03,2021,4.230747496743872,0.383575545708672
New Caledonia,04,2021,1.558425299081888,-2.2887466519533115
New Caledonia,05,2021,0.8200755936409013,-3.0270963573942984
New Caledonia,06,2021,0.7448580718225989,-3.102313879212601
New Caledonia,07,2021,0.8061311382344593,-3.0410408128007407
New Caledonia,08,2021,1.3416508987701041,-2.5055210522650957
New Caledonia,09,2021,3.292763605056867,-0.5544083459783327
New Caledonia,10,2021,1.4065474226123689,-2.440624528422831
