Country Name,Month,Source Name (URL,Total Administered Vaccines
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/961215a2f9974b5988855d9fb55d89e0.shtml,242666000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/99e9c0d61a244a49b74873c10da173df.shtml,163388000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/9a10c06abebc496fa7d6124c527b2fae.shtml,328789000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/9db49006ea4d4ab78e5a59a318cfea4f.shtml,20440000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/a170c7ae7fda4809af3961dc6d79c2ff.shtml,349021000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/bd36bf049b4541cba84d5984c76b527e.shtml,62018000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/beff1109ca1f42aca1adaca564eaac14.shtml,388276000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/d38cff6ee53248ae93ae4f1b808357d6.shtml,434434000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/d9e2a34c3ed94a42ad37aecdb359f1ae.shtml,482337000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/ddd7b535796040ed8b86f9e34fd218bb.shtml,367755000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202106/f97274715d7c4f969c30909f83e4c8f4.shtml,132666000
China,06/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/2a4b54053a4c416ca8cb62a9f7f9edb7.shtml,583207000
India,06/2021,https://dashboard.cowin.gov.in/,118708244
Ireland,06/2021,https://covid19ireland-geohive.hub.arcgis.com/,1480252
United States,06/2021,https://data.cdc.gov/Vaccinations/COVID-19-Vaccination-Trends-in-the-United-States-N/rh2h-3yt2,25519531
China,07/2021,http://www.nhc.gov.cn/jkj/s7915/202107/247c2795b5c14a909bd12bdc634803e1.shtml,337100000
China,07/2021,http://www.nhc.gov.cn/jkj/s7915/202107/a254a488ffcd479e83ca8883b592d098.shtml,355069000
China,07/2021,http://www.nhc.gov.cn/jkj/s7915/202107/b979481d6c364473a3f5863853fb7ad1.shtml,373246000
China,07/2021,http://www.nhc.gov.cn/jkj/s7915/202108/cb8b1aa884eb4da1bdcc31a4e90a5337.shtml,388670000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/131087b17fe44568b05c189a7512259c.shtml,78232000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/1460008ea51d456391ff3405fab20c85.shtml,260748000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/172756a4036f4f0ab7ab734bfdb39ca0.shtml,319212000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/1c8671825659484d9110efb9e7573230.shtml,243456000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/1efc0522cf6840d588347b7d529fb988.shtml,110013000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/28eeeae09f26401383185cfef72a8368.shtml,41350000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/350e483540b54bda948c8816e64d3ecf.shtml,118333000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/3df346b9c3b64006963c8093d47ad725.shtml,227456000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/3e5a9b6d536c48bf8d57ca9a7bf08817.shtml,150460000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/4e61b9db4be649b5b8eef7ec6396d6b3.shtml,101314000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/5617c924149f405baf37bec1020f76e5.shtml,67520000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/6ea19a1d67de4c798d52a4193c06e738.shtml,274558000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/6fb6e12e27e04dd1815c5742fc5b8dfb.shtml,162198000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/7556cf8d3bf4443b8343e93f038ffbd4.shtml,54268000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/8348635aeddd4ac58dcef6276fdbcda8.shtml,286119000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/85e198dec50c4400b2dff160b97d9908.shtml,203167000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/a1923a0b996448258aa7d26ca41797cc.shtml,192408000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/a20dc2587b664ca4ab26bd6800a3de89.shtml,19026000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/ab60eb82c9524b01910e6061fb4216ab.shtml,183278000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/abc2bd8dfead4f8ca9b1a36f11fe24c1.shtml,214335000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/b17bb27474e54f1d980fec46a3fe16a8.shtml,173474000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/b2e4240b4da342d2878824f430863fcc.shtml,90077000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/d9fb9651e6214f648a412d9b892c684d.shtml,301723000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/e65157ce424f48c0b6f9f05c9855b526.shtml,0
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/eca9a2401360415b84fbd3b62e362ec1.shtml,31888000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/ee186c5952bf4066a845954b8ec7d561.shtml,137870000
China,07/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202107/f132e3b541824f8abf51ba504f0ce50b.shtml,127283000
India,07/2021,https://dashboard.cowin.gov.in/,23329114
India,07/2021,https://www.mohfw.gov.in/,126776830
Ireland,07/2021,https://covid19ireland-geohive.hub.arcgis.com/,1480238
United States,07/2021,https://data.cdc.gov/Vaccinations/COVID-19-Vaccination-Trends-in-the-United-States-N/rh2h-3yt2,15903197
China,08/2021,http://www.nhc.gov.cn/jkj/s7915/202108/0103c2752a84466db735fe6cbfdcc26c.shtml,205844000
China,08/2021,http://www.nhc.gov.cn/jkj/s7915/202108/05856d8cfabf48d4949b4379b076d308.shtml,184312000
China,08/2021,http://www.nhc.gov.cn/jkj/s7915/202108/184ada26390546bc90cdabebe25fe5de.shtml,386439000
China,08/2021,http://www.nhc.gov.cn/jkj/s7915/202108/2d51303d095e49118cdbd958594ce2b2.shtml,363407000
China,08/2021,http://www.nhc.gov.cn/jkj/s7915/202108/3960a74ad4804dfd8d95e8cfead0b73e.shtml,254863000
China,08/2021,http://www.nhc.gov.cn/jkj/s7915/202108/39679e47dbb849e386f64247fd241082.shtml,56696000
China,08/2021,http://www.nhc.gov.cn/jkj/s7915/202108/431cbd3a4fc34fe3af25801abd674870.shtml,375098000
China,08/2021,http://www.nhc.gov.cn/jkj/s7915/202108/57c084ce991c49b0a3a685528543891f.shtml,193401000
