CountryName,ManufacturerName
Uzbekistan,Sputnik Light
Uzbekistan,Sputnik V
Uzbekistan,ZF2001
Vanuatu,Oxford/AstraZeneca
Venezuela,Abdala
Venezuela,Sinopharm/Beijing
Venezuela,Sinovac
Venezuela,Soberana02
Venezuela,Sputnik Light
Venezuela,Sputnik V
Vietnam,Abdala
Vietnam,Moderna
Vietnam,Oxford/AstraZeneca
Vietnam,Pfizer/BioNTech
Vietnam,Sinopharm/Beijing
Vietnam,Sputnik V
Wales,Moderna
Wales,Oxford/AstraZeneca
Wales,Pfizer/BioNTech
Wallis and Futuna,Moderna
Yemen,CanSino
Yemen,Covaxin
Yemen,Johnson&Johnson
Yemen,Moderna
Yemen,Oxford/AstraZeneca
Yemen,Pfizer/BioNTech
Yemen,Sinopharm/Beijing
Yemen,Sinovac
Yemen,Sputnik Light
Yemen,Sputnik V
Zambia,Johnson&Johnson
Zambia,Oxford/AstraZeneca
Zambia,Sinopharm/Beijing
Zimbabwe,Oxford/AstraZeneca
Zimbabwe,Sinopharm/Beijing
Zimbabwe,Sinovac
Zimbabwe,Sputnik V
